Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10
1	True	True	True	True	True	True	True	True	True	True
2	True	True	True	True	True	False	True	False	True	True
3	True	True	True	True	True	False	True	True	True	True
5	False	False	True	False	False	False	True	True	True	False
9	True	False	True	True	True	False	True	False	True	True
12	True	True	True	True	False	True	True	True	True	True
13	True	True	False	True	True	True	False	True	True	True
14	True	True	False	True	False	False	False	False	True	True
16	True	True	False	True	False	True	False	True	False	False
20	False	True	False	True	True	True	True	True	True	True
