Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	True	True	False	True	True	False	False	True
3	False	True	False	False	True	False	False	False
5	True	False	True	True	False	False	True	False
9	True	False	True	True	False	True	True	False
12	True	True	True	True	True	True	True	True
13	True	False	True	False	False	True	False	True
14	True	False	True	False	True	False	True	False
16	False	True	True	False	False	False	False	False
20	True	True	True	True	True	True	False	False
