Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11	Copy_12
1	True	False	True	True	True	True	True	True	True	True	False	True
2	False	False	True	False	True	False	True	False	False	False	True	True
3	False	False	False	False	True	False	False	True	False	True	False	True
5	True	True	False	True	True	True	True	False	True	True	False	False
9	True	False	True	False	True	True	False	True	True	False	True	True
12	True	True	True	True	True	True	True	False	True	True	True	True
13	False	True	True	True	True	True	True	False	True	True	False	True
14	False	True	True	True	False	False	True	True	True	False	True	False
16	False	False	False	False	False	False	True	True	False	False	True	False
20	True	True	False	True	True	True	True	False	True	True	True	False
