Repliccate,Gene_trees
1773,"((V,S),((J,B),((((((((F,((((D,L),H),E),K)),M),(A,(T,(((Q,P),O),R)))),W),U),N),I),C)));"
1455,"(((((U,B),W),(S,((((R,T),P),Q),O))),(((((((((((C,D),J),E),F),M),G),L),I),K),H),N)),A);"
8372,"(A,((((W,V),U),(B,B)),((((((Q,S),P),R),T),O),(((((((((((C,G),(L,J)),D),E),H),M),I),F),K),H),N))));"
2053,"(A,((((U,V),B),(S,(T,(P,((Q,R),O))))),(((((((((((N,M),K),H),D),L),I),G),C),J),F),E)));"
10772,"((((T,(V,(((B,V),W),U))),(((((((((((((((H,J),F),R),G),P),Q),O),M),D),L),C),K),S),N),I)),E),(A,A));"
1933,"((((((B,W),V),S),((L,(T,O)),((((((P,J),K),R),M),Q),N))),((((((D,C),I),E),G),F),H)),A);"
10657,"(((((B,(U,W)),V),S),(K,((((M,N),L),T),(((((((((((C,H),J),I),E),O),D),Q),R),P),F),G)))),A);"
8525,"(((((((((((((M,I),F),K),C),U),S),N),V),((((H,D),H),E),B)),(A,(L,T))),O),W),((R,Q),P));"
10079,"(((((L,(((M,N),K),((((((((((J,E),S),T),F),I),D),(((O,R),Q),P)),G),H),C))),(U,B)),V),W),A);"
2042,"((((U,(B,W)),V),((T,((((S,P),Q),R),O)),((((K,L),M),N),((((((C,D),I),E),G),F),H)))),A);"
10599,"(((((U,V),(B,W)),(S,((((Q,R),T),P),O))),(E,(D,((((((((C,I),M),F),H),L),J),N),K)))),A);"
2316,"(((A,(((V,B),W),(S,((N,M),((((((((((((P,E),Q),F),R),G),J),H),T),O),D),L),C))))),Q),I);"
1468,"((((V,((B,U),W)),(((((S,(R,Q)),T),O),O),P)),(K,(((M,N),L),(((((((J,D),E),F),G),H),I),C)))),A);"
6417,"(A,((((B,V),W),U),((S,(R,(Q,(P,O)))),(J,((((((((((L,K),I),M),C),E),G),F),N),D),H)))));"
10835,"(((((U,V),B),W),(K,(((M,N),L),((T,(Q,((P,S),O))),((((((I,H),D),E),G),F),(J,C)))))),A);"
8067,"(((((W,V),B),U),(S,((T,(((R,Q),P),O)),(((L,M),K),(((((((D,J),E),H),F),G),C),I))))),A);"
7149,"((((B,(U,W)),V),(L,((((N,M),O),J),((E,(D,(T,K))),(((((((Q,P),H),F),I),C),R),S))))),A);"
964,"((((((((B,V),W),U),((((Q,S),P),R),O)),H),D),((N,M),(((F,G),I),(((J,E),L),C)))),A);"
7615,"((P,((((((V,V),W),U),B),(M,(J,C))),((((((((((((((((T,O),E),G),O),F),H),D),F),N),L),I),K),T),S),Q),R))),A);"
11536,"((((A,((U,(B,W)),V)),((((O,S),Q),R),P)),T),((((N,M),K),L),((((((D,H),J),E),I),C),G)));"
946,"((((B,V),W),(A,(((((Q,S),O),R),P),((L,((N,K),M)),(H,(E,(I,((D,J),((G,F),C))))))))),U);"
1852,"((((((((N,L),K),M),(O,((T,E),((((((((((S,D),J),G),C),Q),P),I),R),F),H)))),V),(U,B)),W),A);"
3187,"((((((T,V),(((((R,S),P),S),O),Q)),(L,K)),(H,((M,I),(((((((C,J),F),E),N),H),D),G)))),U),A);"
9661,"((A,(((U,B),V),((((((((M,C),J),I),((((D,G),(S,((((Q,T),R),O),P))),E),H)),F),N),L),K))),W);"
3231,"(A,((((((W,V),U),((F,G),((L,((N,M),(((((H,E),J),C),D),I))),K))),(((O,R),Q),P)),S),T));"
7500,"(((((U,B),V),W),((T,((((R,Q),S),P),O)),((((H,D),I),E),((((((C,L),K),J),G),F),(N,M))))),A);"
1255,"((((((V,B),U),((I,K),A)),(((((H,E),C),L),J),D)),(S,((((((F,T),P),G),R),Q),O))),((N,M),W));"
8933,"((((W,U),V),((((((((T,(((S,I),(((R,Q),P),O)),((N,M),J))),(D,(A,K))),C),G),F),E),L),H)),B);"
9217,"((((((((W,V),U),B),(A,((F,G),((((((((M,J),I),N),L),H),C),E),D)))),S),Q),T),(R,(P,O)));"
3042,"(A,((((U,B),W),V),(F,((((((((((K,J),N),((H,E),D)),I),T),G),M),C),L),(((O,S),P),(R,Q))))));"
6964,"(((((((U,B),V),W),S),T),(((Q,R),P),(O,(((((((((((((K,K),C),M),L),N),N),I),H),D),E),G),J),F)))),A);"
7214,"((((W,B),V),U),(((((R,Q),P),S),O),(L,(N,((((I,E),K),J),(((((G,H),D),M),C),F))))));"
7163,"(A,(((W,V),(U,B)),((T,(S,((R,P),O))),((((((((D,H),E),N),J),L),K),M),((F,G),C)))));"
1368,"((T,((((B,V),U),S),((((Q,P),O),R),(L,(N,(M,(K,(J,((((((C,E),I),G),H),F),D))))))))),A);"
4804,"(((((U,W),B),V),(I,((D,((((((S,O),T),Q),P),R),K)),(H,((L,(((N,M),G),((E,F),J))),C))))),A);"
9169,"(((((S,(Q,(((A,V),U),(B,W)))),R),(((((((G,T),P),O),J),F),N),E)),K),((((((D,C),L),D),H),I),G));"
10056,"((((U,V),W),O),((((((P,T),P),Q),S),R),((A,A),((((N,K),M),L),(((((((J,E),F),I),D),C),G),H)))));"
5093,"((((U,V),(B,W)),((((S,T),P),(R,O)),((((((((I,L),J),N),G),F),D),K),(M,((E,C),H))))),A);"
9313,"(((((((((U,B),W),V),Q),(R,O)),P),(S,T)),((((((((((E,I),K),G),J),F),C),H),N),L),D)),A);"
6156,"(((((((V,S),(F,L)),(((((M,I),J),N),G),K)),(((D,H),E),C)),(P,(Q,(R,P)))),T),(B,(U,W)));"
5110,"((((W,V),B),U),(O,((S,P),((Q,T),(K,((N,M),((((D,J),H),E),(L,(((F,I),G),C)))))))));"
5992,"(((((B,V),W),U),(((S,T),(((R,O),Q),P)),(G,(((((((((((C,(N,M)),J),E),F),L),F),D),H),I),K),K)))),A);"
10930,"(A,((((U,B),W),V),(((Q,T),O),((R,P),(S,(G,(((((((C,I),J),F),E),H),D),(((K,N),L),M))))))));"
1405,"((((W,V),(U,B)),((S,((R,Q),(P,O))),(J,((((N,M),((L,G),H)),K),((((E,D),F),I),C))))),A);"
6327,"(((((W,V),(U,B)),((((((((((E,M),C),(L,K)),D),G),H),F),N),J),I)),(S,(P,((R,Q),(T,O))))),A);"
2803,"(A,((((U,B),V),W),((((P,S),Q),R),(((F,I),L),(((N,M),((G,(H,D)),E)),(J,(K,C)))))));"
5260,"(((((W,V),B),U),(((S,T),(((((P,P),Q),R),O),(L,((N,M),K)))),(((I,C),J),(((E,G),F),D)))),A);"
2031,"((((U,B),W),V),(A,((T,(R,((((P,Q),P),S),O))),(((((((((((J,I),L),G),N),F),C),M),K),D),E),H))));"
7625,"((((B,V),(U,W)),((S,((R,Q),P)),((E,D),((L,K),(M,((((G,N),F),H),(I,(J,C)))))))),A);"
7785,"((B,((U,V),W)),(A,((((R,Q),T),(((S,O),P),S)),(J,((((((((((E,M),C),L),H),N),I),D),F),G),K)))));"
55,"((((((U,V),W),B),((((O,P),(R,Q)),T),S)),((F,I),((((N,L),K),J),((((G,H),E),D),C)))),A);"
6254,"(((((B,V),V),U),W),((R,Q),((E,(((K,H),J),(L,((N,M),(((I,C),F),G))))),(P,(O,(S,(((A,A),A),T)))))));"
11468,"((((((K,(H,((((((D,Q),F),M),N),G),(T,J)))),(((((((((P,O),E),H),S),L),C),R),I),R)),W),V),(U,B)),A);"
8989,"(((W,V),B),((S,(P,((R,Q),O))),(T,(J,((((M,K),I),L),(H,(((F,E),D),((N,G),C))))))));"
3686,"(((((U,B),W),V),(T,((((S,Q),R),P),O))),(((N,M),(L,K)),(E,(((((((I,D),H),G),F),J),C),I))));"
6778,"(((((U,B),V),W),((T,(S,(P,((R,O),Q)))),((((L,K),M),N),((((((H,F),E),C),J),G),I)))),A);"
8797,"(((((V,U),W),B),((((T,P),T),T),((R,Q),(S,(O,(((N,(L,K)),M),(((((((D,J),E),F),H),C),I),G))))))),A);"
