Repliccate,Gene_trees
3055,"(((((V,V),((W,W),W)),(((U,U),U),(((B,B),B),B))),((T,(S,((R,Q),(P,(O,O))))),(((N,M),(L,K)),(J,(((E,H),D),((F,G),(I,C))))))),A);"
3580,"(A,(((((V,V),V),V),(((U,U),B),W)),(((S,S),(T,(((R,(Q,Q)),P),O))),((((N,M),(L,K)),(((J,J),J),J)),((((H,E),H),E),(((G,G),(F,I)),C))))));"
4312,"((((U,V),((B,B),B)),((((R,Q),P),O),((S,(T,T)),(((L,L),((K,M),N)),((D,((((((E,D),H),D),D),D),(H,((J,J),J)))),((F,((((((G,G),G),G),G),G),G)),(I,C))))))),A);"
5118,"((R,(U,B)),(A,(((((U,B),W),V),((T,(S,(P,(((Q,R),R),O)))),(((N,M),(L,K)),(J,(((E,(H,H)),D),((G,I),(F,C))))))),A)));"
6698,"(A,(((((U,(B,B)),V),W),((S,S),(((Q,Q),(R,T)),((P,P),(O,O))))),((L,L),((N,M),(K,((F,F),((G,(E,J)),(((H,D),H),(D,(I,(C,C)))))))))));"
9585,"(A,((((U,B),W),V),((T,((S,S),((((R,R),Q),P),O))),((((N,N),M),(L,K)),(J,(((I,((F,G),E)),((H,H),(D,D))),(C,C)))))));"
9842,"((((V,V),((B,B),((W,W),W))),U),(((F,F),F),((((((T,T),T),T),(S,(((P,Q),R),O))),(L,((N,M),((K,K),K)))),((E,(((J,J),J),J)),(((((((((C,G),H),I),H),D),D),I),I),D)))));"
1774,"((((W,V),(U,B)),(T,(S,((((Q,P),R),O),(((N,N),(((M,M),M),M)),((K,(((J,J),J),J)),(((((((H,E),D),D),H),I),G),(F,(L,(((C,C),C),C)))))))))),((A,A),A));"
4646,"(((((U,B),V),W),((T,(S,(((R,((((Q,Q),Q),Q),Q)),(((P,P),P),P)),O))),(((N,M),(L,K)),(J,(((G,G),(F,(E,((H,H),D)))),(I,C)))))),A);"
5234,"((((W,V),((((U,U),U),U),B)),(((S,T),(((R,Q),(P,P)),O)),(((N,M),(L,K)),((((J,J),J),J),((I,((F,(G,G)),(E,(H,D)))),C))))),A);"
4606,"((((((((B,V),(U,W)),(((((S,S),S),S),S),T)),(((R,R),R),R)),(((Q,Q),Q),Q)),((P,O),O)),(F,((N,M),((L,K),((((D,H),E),((((G,G),G),G),J)),(I,C)))))),A);"
6427,"((((((U,((B,B),B)),((W,W),W)),V),(((L,(((M,M),N),K)),J),(((G,G),I),((F,((E,E),(D,((H,H),D)))),(C,C))))),((S,T),((P,P),((((Q,Q),R),R),O)))),A);"
7642,"(A,((((((((((V,V),V),V),V),U),B),W),(L,((((N,M),M),N),((K,K),(E,(C,(((F,F),(G,(D,J))),(((((C,C),C),I),I),H)))))))),((S,(P,P)),((T,T),O))),(R,Q)));"
4561,"(((((U,((B,B),B)),W),V),((T,(S,(((R,Q),R),(P,O)))),(((((N,M),M),(L,K)),(J,J)),((H,(D,D)),(((E,E),E),(((((G,G),G),I),F),(((C,C),C),C))))))),A);"
7365,"(((((U,B),W),V),((T,(((S,S),S),(((((R,((Q,Q),Q)),R),R),(P,P)),O))),(((N,M),(L,K)),(J,(((F,((G,G),G)),(((E,E),E),((H,H),((D,D),D)))),(I,C)))))),A);"
10758,"((((((((U,U),U),U),B),V),W),((S,(T,(((R,Q),(P,P)),O))),((L,((N,(M,M)),K)),(J,((F,(G,G)),((H,D),(I,(((E,E),E),((C,C),C))))))))),A);"
148,"((((((U,U),B),V),W),((T,(S,(((R,Q),P),O))),(((N,M),(L,(K,K))),(J,((I,I),((((F,G),E),D),((H,H),C))))))),((A,A),A));"
534,"(((((W,V),(U,U)),B),((T,(S,(((R,R),(Q,Q)),(P,(O,O))))),(((N,(M,M)),(L,K)),(((F,G),(J,J)),((H,H),(D,((E,E),(I,(C,C))))))))),A);"
