Repliccate,Gene_trees
259,"((V,S),((J,B),((I,((((((C,(A,T)),U),F),M),(((Q,P),O),R)),N)),(((((D,L),H),E),K),W))));"
212,"(((((U,B),W),(S,((((R,T),P),Q),O))),(((((((((((C,D),J),E),F),M),G),L),I),K),H),N)),A);"
295,"(A,((((U,V),B),(S,(T,(P,((Q,R),O))))),(((((((((((N,M),K),H),D),L),I),G),C),J),F),E)));"
276,"((((((B,W),V),S),((L,(T,O)),((((((P,J),K),R),M),Q),N))),((((((D,C),I),E),G),F),H)),A);"
1557,"(((((L,(((M,N),K),((((((((((J,E),S),T),F),I),D),(((O,R),Q),P)),G),H),C))),(U,B)),V),W),A);"
293,"((((U,(B,W)),V),((T,((((S,P),Q),R),O)),((((K,L),M),N),((((((C,D),I),E),G),F),H)))),A);"
1094,"((((B,V),(U,W)),(L,((((N,M),O),J),((E,(D,(T,K))),(((((((Q,P),H),F),I),C),R),S))))),A);"
141,"((((((((B,V),W),U),((((Q,S),P),R),O)),H),D),((N,M),(((F,G),I),(((J,E),L),C)))),A);"
966,"(A,((((B,V),W),U),((S,(R,(Q,(P,O)))),(J,((((((((((L,K),I),M),C),E),G),F),N),D),H)))));"
1700,"(((((U,V),B),W),(K,(((M,N),L),((T,(Q,((P,S),O))),((((((I,H),D),E),G),F),(J,C)))))),A);"
1232,"(((((W,V),B),U),(S,((T,(((R,Q),P),O)),(((L,M),K),(((((((D,J),E),H),F),G),C),I))))),A);"
462,"(A,((((((W,V),U),((F,G),((L,((N,M),(((((H,E),J),C),D),I))),K))),(((O,R),Q),P)),S),T));"
1816,"((((A,((U,(B,W)),V)),((((O,S),Q),R),P)),T),((((N,M),K),L),((((((D,H),J),E),I),C),G)));"
1419,"((((((((W,V),U),B),(A,((F,G),((((((((M,J),I),N),L),H),C),E),D)))),S),Q),T),(R,(P,O)));"
136,"((((B,V),W),(A,(((((Q,S),O),R),P),((L,((N,K),M)),(H,(E,(I,((D,J),((G,F),C))))))))),U);"
1148,"(((((U,B),V),W),((T,((((R,Q),S),P),O)),((((H,D),I),E),((((((C,L),K),J),G),F),(N,M))))),A);"
1374,"((((W,U),V),((((((((T,(((S,I),(((R,Q),P),O)),((N,M),J))),(D,(A,K))),C),G),F),E),L),H)),B);"
440,"(A,((((U,B),W),V),(F,((((((((((K,J),N),((H,E),D)),I),T),G),M),C),L),(((O,S),P),(R,Q))))));"
181,"((((((V,B),U),((I,K),A)),(((((H,E),C),L),J),D)),(S,(((F,T),P),(((Q,G),R),O)))),((N,M),W));"
1489,"((A,(((U,B),V),((((((((C,M),J),I),((((E,D),H),G),(S,((((Q,T),R),O),P)))),F),N),L),K))),W);"
1106,"((((W,B),V),U),(((((R,Q),P),S),O),(L,(N,((((I,E),K),J),(((((G,H),D),M),C),F))))));"
1098,"(A,(((W,V),(U,B)),((T,(S,((R,P),O))),((((((((D,H),E),N),J),L),K),M),((F,G),C)))));"
201,"((T,((((B,V),U),S),((((Q,P),O),R),(L,(N,(M,(K,(J,((((((C,E),I),G),H),F),D))))))))),A);"
711,"(((((U,W),B),V),(I,((D,((((((S,O),T),Q),P),R),K)),(H,((L,(((N,M),G),((E,F),J))),C))))),A);"
760,"((((U,V),(B,W)),((((S,T),P),(R,O)),((((((((I,L),J),N),G),F),D),K),(M,((E,C),H))))),A);"
762,"((((W,V),B),U),(O,((S,P),((Q,T),(K,((N,M),((((D,J),H),E),(L,(((F,I),G),C)))))))));"
1718,"(A,((((U,B),W),V),(((Q,T),O),((R,P),(S,(G,(((((((C,I),J),F),E),H),D),(((K,N),L),M))))))));"
953,"(((((W,V),(U,B)),((((((((((E,M),C),(L,K)),D),G),H),F),N),J),I)),(S,(P,((R,Q),(T,O))))),A);"
205,"((((W,V),(U,B)),((S,((R,Q),(P,O))),(J,((((N,M),((L,G),H)),K),((((E,D),F),I),C))))),A);"
403,"(A,((((U,B),V),W),((((P,S),Q),R),(((F,I),L),(((N,M),((G,(H,D)),E)),(J,(K,C)))))));"
5,"((((((U,V),W),B),((((O,P),(R,Q)),T),S)),((F,I),((((N,L),K),J),((((G,H),E),D),C)))),A);"
1168,"((((B,V),(U,W)),((S,((R,Q),P)),((E,D),((L,K),(M,((((G,N),F),H),(I,(J,C)))))))),A);"
962,"(((((((((W,V),U),B),J),(((((((((((C,S),O),N),Q),L),R),E),M),P),D),H)),(T,K)),(F,G)),I),A);"
