Repliccate,Gene_trees
259,"((((J,B),((I,(((((((((Q,R),P),O),N),C),(A,T)),M),F),U)),(((((D,K),L),H),E),W))),V),S);"
212,"(((((U,B),W),(S,((((P,Q),T),R),O))),(((((((((((C,E),F),D),M),J),I),G),N),K),H),L)),A);"
295,"(A,((((U,V),B),(S,(T,(P,((R,O),Q))))),(((((((((L,G),F),I),D),((K,M),N)),J),E),H),C)));"
276,"((((((B,W),V),S),((L,(T,O)),((((((K,R),N),Q),J),M),P))),((((((E,G),C),F),H),D),I)),A);"
1557,"(A,((((L,(((N,K),M),((((((((((H,(((O,Q),P),R)),T),I),F),J),C),E),G),S),D))),(U,B)),V),W));"
293,"((((U,(B,W)),V),((T,((((S,Q),R),P),O)),((((N,K),L),M),((((((C,G),D),I),E),F),H)))),A);"
1094,"((((V,B),(U,W)),(L,((((N,O),M),J),((E,(D,(T,K))),(((((((P,C),Q),I),R),F),H),S))))),A);"
141,"((((((((B,V),W),U),((((P,O),R),S),Q)),H),D),((N,M),(((F,G),I),(((E,C),L),J)))),A);"
966,"(A,((((B,V),W),U),((S,(R,(Q,(P,O)))),(J,((((((((((L,H),E),M),D),F),N),G),K),C),I)))));"
1700,"(((((W,B),U),V),(K,(((N,L),M),((T,(Q,((O,S),P))),((((((F,D),H),G),E),I),(J,C)))))),A);"
1232,"(((((V,B),W),U),(S,((T,((O,P),(R,Q))),(((L,K),M),(((((((I,H),E),D),C),F),G),J))))),A);"
462,"(A,((((((W,V),U),((F,G),((((N,M),(((((C,I),E),D),J),H)),L),K))),(((O,R),Q),P)),S),T));"
1816,"((((A,((U,(B,W)),V)),((((S,P),Q),R),O)),(((L,K),(N,M)),((((((H,C),E),G),D),J),I))),T);"
1419,"(((R,(P,O)),((((((W,V),U),B),(A,((F,G),((((((((N,M),L),C),J),H),D),I),E)))),S),Q)),T);"
136,"((((B,V),W),(A,(((((R,Q),P),S),O),((L,((K,M),N)),(H,(E,(I,((D,J),((G,C),F))))))))),U);"
1148,"(((((U,B),V),W),((T,((((Q,O),P),R),S)),((((E,H),D),I),((((((K,J),C),(N,M)),G),L),F)))),A);"
1374,"((((U,B),V),W),((((((C,((T,(((S,I),(((Q,R),P),O)),((N,M),J))),(D,(A,K)))),H),E),F),G),L));"
440,"(A,((((U,B),W),V),(F,((((((((((((H,E),D),C),M),G),L),I),T),K),N),(((P,S),(R,Q)),O)),J))));"
181,"((((((V,B),U),((I,K),A)),(((((H,L),D),E),C),J)),(S,(((F,T),P),(((Q,R),O),G)))),((N,M),W));"
1489,"(W,(A,(((U,B),V),((((((((F,((((E,D),H),G),(S,((((P,O),R),T),Q)))),N),J),K),L),C),M),I))));"
1106,"((((W,B),V),U),(((O,((R,Q),P)),S),(L,(N,((((I,E),K),J),(((((D,C),G),M),H),F))))));"
1098,"(A,(((W,V),(U,B)),((T,(S,((P,R),O))),((((((((E,K),J),M),L),N),H),D),((C,G),F)))));"
201,"((T,((((B,V),U),S),((((O,R),Q),P),(L,(N,(M,(K,(J,((((((D,I),F),E),H),C),G))))))))),A);"
711,"(A,((((U,B),W),V),(I,((D,((((((T,S),Q),P),R),O),K)),(H,((L,(((N,M),G),((E,J),F))),C))))));"
760,"((((U,V),(B,W)),((((S,T),P),(R,O)),((((((((G,I),L),D),K),J),N),F),(M,((E,C),H))))),A);"
762,"((((W,V),B),U),(O,((S,P),((Q,T),(K,((N,M),((((E,H),D),J),(L,(((I,F),G),C)))))))));"
1718,"(A,((((U,B),W),V),(((Q,T),O),((R,P),(S,(G,(((((((F,C),E),D),H),J),I),(((L,K),M),N))))))));"
953,"(((((W,V),(U,B)),((((((((((N,C),(L,K)),I),G),J),M),D),E),F),H)),(S,(P,((R,Q),(T,O))))),A);"
205,"((((W,V),(U,B)),((S,((R,Q),(P,O))),(J,((((N,M),((L,G),H)),K),((((D,F),C),I),E))))),A);"
403,"(A,((((U,B),V),W),((((S,Q),R),P),(((F,L),I),(((N,M),(((H,D),G),E)),(J,(K,C)))))));"
5,"(A,(((((U,V),W),B),((((S,(R,Q)),T),P),O)),((F,I),((((N,L),K),J),((((G,E),C),D),H)))));"
1168,"((((B,V),(U,W)),((S,((R,Q),P)),((E,D),((L,K),(M,((((F,N),G),H),(I,(J,C)))))))),A);"
962,"(((((((((W,V),U),B),J),(((((((((((D,M),C),H),E),P),S),N),R),Q),O),L)),(T,K)),(F,G)),I),A);"
1386,"(((W,V),B),((S,(P,((R,Q),O))),(T,(J,((((K,I),L),M),(H,(((F,E),D),((G,C),N))))))));"
488,"(A,((((U,V),B),W),((T,(S,(((R,P),Q),O))),((((N,M),K),L),(H,(((((C,F),I),G),E),J))))));"
1140,"(A,(((((U,B),V),W),((((R,O),P),Q),(S,((L,K),((((((((D,E),H),M),G),F),J),(I,C)),N))))),T));"
1014,"((((U,B),W),V),((S,((Q,((R,T),P)),O)),(((N,M),(L,K)),(((((D,((C,F),G)),H),E),I),J))));"
163,"((((B,((((L,K),((N,M),((S,T),(Q,((P,O),R))))),(G,(((((H,D),E),F),I),(J,C)))),W)),V),U),A);"
494,"(((((W,V),B),U),(F,((N,M),(((P,(L,(E,(G,(T,K))))),J),(((((((H,C),Q),I),D),S),R),O))))),A);"
243,"(((((W,V),B),(((S,T),(((P,Q),R),O)),((G,((N,L),(M,K))),((((((I,D),C),H),F),E),J)))),U),A);"
786,"((((B,V),(U,W)),((S,(T,(P,((Q,O),R)))),(I,((L,(M,(N,K))),(J,((((H,E),D),F),C)))))),A);"
635,"(((((((B,V),U),W),((E,D),(((N,M),(L,K)),(((H,F),I),J)))),S),(T,(((Q,P),R),O))),A);"
994,"(A,(((((W,V),U),B),(I,((H,((G,(L,((N,M),K))),(((E,J),F),D))),C))),(T,(((R,Q),(S,P)),O))));"
1342,"(A,((((W,V),U),B),((T,(S,(((R,Q),P),O))),(N,(((L,K),J),(((E,H),D),(G,((F,C),I))))))));"
1492,"((((W,V),B),((S,((R,P),O)),(T,(((N,I),M),((G,K),(L,((F,J),(((E,D),H),C)))))))),A);"
568,"((((B,W),V),((S,(((R,Q),P),O)),(T,(((G,((F,I),((H,E),D))),((M,(N,(L,K))),J)),C)))),A);"
1379,"(((((((((B,V),(U,J)),I),N),((((G,F),E),H),D)),C),((S,T),((L,R),(K,(W,(P,O)))))),Q),A);"
1038,"(A,((((U,B),W),V),((S,((R,Q),(P,O))),(E,(F,(((N,K),((L,G),J)),(((D,C),I),H)))))));"
995,"((((((B,W),V),U),(R,((Q,P),((S,T),O)))),(L,(I,(M,((((((((N,J),E),G),F),C),H),K),D))))),A);"
1384,"((A,V),((((S,((Q,P),R)),(O,(T,(((N,L),K),(((F,I),((E,D),H)),(J,C)))))),(U,B)),W));"
1642,"((((((((B,(U,W)),V),O),((P,R),Q)),T),S),((D,((((L,N),M),K),J)),(((((G,F),C),H),I),E))),A);"
18,"(((((U,V),W),B),(O,((S,(E,(D,J))),((L,H),((I,(((R,Q),T),((M,N),K))),((G,P),C)))))),F);"
1176,"(((((U,B),W),V),((S,((T,P),(R,O))),(N,((M,(L,K)),(F,(((J,C),G),((D,H),E))))))),A);"
565,"((((W,V),U),B),(((D,(Q,(R,((S,T),(P,O))))),(((N,M),(F,G)),(((E,J),L),H))),(I,(K,C))));"
132,"(((((((W,V),U),I),(F,((((E,D),H),(L,((N,M),K))),C))),J),G),(T,(Q,(R,((S,P),O)))));"
1154,"(((((U,B),W),V),((((S,Q),T),O),((((L,(N,M)),K),J),(((F,I),(G,(E,(H,D)))),C)))),A);"
500,"(A,(((B,V),W),((T,(S,(((R,Q),P),O))),(((N,M),(L,K)),(J,(E,((((H,(I,C)),G),D),F)))))));"
