Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,0,"((AC,(((((Z,G),AA),AB),((Y,(X,(((W,V),U),T))),(((S,R),(Q,P)),(O,((J,(M,I)),(((K,L),N),H)))))),(B,C))),((F,(E,D)),A));","(0-1-0   0-0-0   AC,(0-0-1   0-0-2   B,(0-0-1   0-0-2   A,((0-0-0   0-0-2   F,(0-0-0   0-0-2   D,0-0-0   0-0-2   E)0-0-0   0-0-0   )0-0-1   0-0-0   ,(0-0-0   0-0-2   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-1-0   0-0-0   ,(0-0-0   0-0-3   G,0-0-0   0-0-3   Z)0-0-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-2   P,0-0-0   0-0-2   Q)0-0-0   0-0-0   ,(0-0-0   0-0-2   R,0-0-0   0-0-2   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-2   O,((0-0-0   0-0-2   J,(0-0-0   0-0-2   I,0-0-0   0-0-2   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-3   H,0-0-0   0-0-3   N)0-1-0   0-0-0   ,(0-0-0   0-0-3   L,0-0-0   0-0-3   K)0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-2   Y,(0-0-0   0-0-2   X,(0-0-0   0-0-2   T,((0-0-0   0-0-2   V,0-0-0   0-0-2   W)0-0-0   0-0-0   ,0-0-0   0-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-1   0-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )1-0-0   1-0-0   )0-0-0   1-0-0   ;",1,4,4
ete3,0,"(((B,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A)),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((C,((((((((K,L),(N,H)),((H,N),(L,K))),((I,M),J)),O),((P,Q),(R,S))),(((T,(U,(V,W))),X),Y)),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))),((E,D),F)),A),B)),AC));","(0-1-0   0-0-0   AC,(0-0-1   0-0-2   B,(0-0-1   0-0-2   A,((0-0-0   0-0-2   F,(0-0-0   0-0-2   D,0-0-0   0-0-2   E)0-0-0   0-0-0   )0-0-1   0-0-0   ,(0-0-0   0-0-2   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-1-0   0-0-0   ,(0-0-0   0-0-3   G,0-0-0   0-0-3   Z)0-0-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-2   P,0-0-0   0-0-2   Q)0-0-0   0-0-0   ,(0-0-0   0-0-2   R,0-0-0   0-0-2   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-2   O,((0-0-0   0-0-2   J,(0-0-0   0-0-2   I,0-0-0   0-0-2   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-3   H,0-0-0   0-0-3   N)0-1-0   0-0-0   ,(0-0-0   0-0-3   L,0-0-0   0-0-3   K)0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-2   Y,(0-0-0   0-0-2   X,(0-0-0   0-0-2   T,((0-0-0   0-0-2   V,0-0-0   0-0-2   W)0-0-0   0-0-0   ,0-0-0   0-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-1   0-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )1-0-0   1-0-0   )0-0-0   1-0-0   ;",4,0,58
reconcILS,1,"((((((((Z,G),AA),AB),((X,(Y,((W,U),T))),(O,(((S,R),(Q,P)),(((J,M),I),(N,(L,(K,H)))))))),C),(F,(E,D))),(B,A)),AC);","(0-0-0   0-0-0   AC,(0-1-0   0-0-1   B,(0-0-0   0-0-1   A,((0-0-0   0-0-1   F,(0-0-0   0-0-1   D,0-0-0   0-0-1   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-2   G,0-0-0   0-0-2   Z)0-1-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-2   P,0-0-0   0-0-2   Q)0-0-0   0-0-0   ,(0-0-0   0-0-2   R,0-0-0   0-0-2   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-2   O,((0-1-0   0-0-3   J,(0-0-0   0-0-3   I,0-0-0   0-0-3   M)0-0-0   0-0-0   )0-0-0   1-0-0   ,((0-0-0   0-0-4   H,0-0-0   0-0-4   N)0-0-0   0-0-0   ,(0-0-0   0-0-4   L,0-0-0   0-0-4   K)0-2-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-0-0   1-0-0   ,(0-0-0   0-0-2   Y,(0-0-0   0-0-2   X,(0-0-0   0-0-2   T,((0-0-1   0-0-3   V,0-0-0   0-0-2   W)0-0-0   0-0-0   ,0-0-0   0-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   ;",0,7,1
ete3,1,"(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,(((D,E),F),(C,(((((O,(((((L,K),(N,H)),((K,L),(N,H))),((K,L),(H,N))),(((M,I),J),((I,M),J)))),((P,Q),(R,S))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((X,(T,((V,W),U))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))))),B)));","(0-0-0   0-0-0   AC,(0-1-0   0-0-1   B,(0-0-0   0-0-1   A,((0-0-0   0-0-1   F,(0-0-0   0-0-1   D,0-0-0   0-0-1   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-2   G,0-0-0   0-0-2   Z)0-1-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-2   P,0-0-0   0-0-2   Q)0-0-0   0-0-0   ,(0-0-0   0-0-2   R,0-0-0   0-0-2   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-2   O,((0-1-0   0-0-3   J,(0-0-0   0-0-3   I,0-0-0   0-0-3   M)0-0-0   0-0-0   )0-0-0   1-0-0   ,((0-0-0   0-0-4   H,0-0-0   0-0-4   N)0-0-0   0-0-0   ,(0-0-0   0-0-4   L,0-0-0   0-0-4   K)0-2-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-0-0   1-0-0   ,(0-0-0   0-0-2   Y,(0-0-0   0-0-2   X,(0-0-0   0-0-2   T,((0-0-1   0-0-3   V,0-0-0   0-0-2   W)0-0-0   0-0-0   ,0-0-0   0-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   ;",6,0,58
reconcILS,2,"((AC,((((((G,(Z,AB)),AA),((X,((W,V),(U,T))),(Y,((Q,((S,R),P)),(O,((J,(M,I)),(L,(K,H)))))))),A),(E,D)),F)),B);","(0-1-0   0-0-0   AC,(0-0-0   0-0-1   B,(0-2-0   0-0-3   A,((0-0-0   0-0-3   F,(0-0-0   0-0-3   D,0-0-0   0-0-3   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-1   0-0-4   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-5   G,0-0-0   0-0-5   Z)0-2-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-5   P,0-0-0   0-0-5   Q)0-0-0   0-0-0   ,(0-0-0   0-0-5   R,0-0-0   0-0-5   S)0-1-0   0-0-0   )0-0-0   1-0-0   ,(0-0-0   0-0-4   O,((0-0-0   0-0-4   J,(0-0-0   0-0-4   I,0-0-0   0-0-4   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-5   H,0-0-1   0-0-6   N)0-1-0   0-0-0   ,(0-0-0   0-0-5   L,0-0-0   0-0-5   K)0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-4   Y,(0-0-0   0-0-4   X,(0-1-0   0-0-5   T,((0-0-0   0-0-5   V,0-0-0   0-0-5   W)0-0-0   0-0-0   ,0-0-0   0-0-5   U)0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   ;",0,10,2
ete3,2,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E))),A),(((C,(((((((U,(W,V)),T),X),Y),((((((L,K),(N,H)),((K,L),(N,H))),((I,M),J)),O),(((Q,P),(R,S)),((S,R),(P,Q))))),((Y,(((((W,V),U),T),((U,(V,W)),T)),X)),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((Z,G),(AB,AA)),(((G,Z),(AA,AB)),((Z,G),(AA,AB)))))),((E,D),F)),A)))),AC));","(0-1-0   0-0-0   AC,(0-0-0   0-0-1   B,(0-2-0   0-0-3   A,((0-0-0   0-0-3   F,(0-0-0   0-0-3   D,0-0-0   0-0-3   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-1   0-0-4   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-5   G,0-0-0   0-0-5   Z)0-2-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-5   P,0-0-0   0-0-5   Q)0-0-0   0-0-0   ,(0-0-0   0-0-5   R,0-0-0   0-0-5   S)0-1-0   0-0-0   )0-0-0   1-0-0   ,(0-0-0   0-0-4   O,((0-0-0   0-0-4   J,(0-0-0   0-0-4   I,0-0-0   0-0-4   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-5   H,0-0-1   0-0-6   N)0-1-0   0-0-0   ,(0-0-0   0-0-5   L,0-0-0   0-0-5   K)0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-4   Y,(0-0-0   0-0-4   X,(0-1-0   0-0-5   T,((0-0-0   0-0-5   V,0-0-0   0-0-5   W)0-0-0   0-0-0   ,0-0-0   0-0-5   U)0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   ;",7,0,112
reconcILS,3,"((AC,(((((((Z,G),AA),AB),((Y,(X,((W,V),T))),(((S,R),(Q,P)),(((J,(M,I)),O),((K,L),(N,H)))))),C),(F,(E,D))),A)),B);","(0-1-0   0-0-0   AC,(0-0-0   0-0-1   B,(0-0-0   0-0-1   A,((0-0-0   0-0-1   F,(0-0-0   0-0-1   D,0-0-0   0-0-1   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-2   G,0-0-0   0-0-2   Z)0-1-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-1   P,0-0-0   0-0-1   Q)0-0-0   0-0-0   ,(0-0-0   0-0-1   R,0-0-0   0-0-1   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-1-0   0-0-2   O,((0-0-0   0-0-2   J,(0-0-0   0-0-2   I,0-0-0   0-0-2   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-2   H,0-0-0   0-0-2   N)0-0-0   0-0-0   ,(0-0-0   0-0-2   L,0-0-0   0-0-2   K)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   Y,(0-0-0   0-0-1   X,(0-0-0   0-0-1   T,((0-0-0   0-0-1   V,0-0-0   0-0-1   W)0-0-0   0-0-0   ,0-0-1   0-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   ;",0,3,1
ete3,3,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,(((D,E),F),(C,((((((((M,I),J),((H,N),(L,K))),O),((((K,L),(N,H)),((I,M),J)),O)),((P,Q),(R,S))),((((U,(V,W)),T),X),Y)),(((Z,G),(AA,AB)),((AB,AA),(G,Z)))))))),AC));","(0-1-0   0-0-0   AC,(0-0-0   0-0-1   B,(0-0-0   0-0-1   A,((0-0-0   0-0-1   F,(0-0-0   0-0-1   D,0-0-0   0-0-1   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-0-0   0-0-0   ,(0-0-0   0-0-2   G,0-0-0   0-0-2   Z)0-1-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-1   P,0-0-0   0-0-1   Q)0-0-0   0-0-0   ,(0-0-0   0-0-1   R,0-0-0   0-0-1   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-1-0   0-0-2   O,((0-0-0   0-0-2   J,(0-0-0   0-0-2   I,0-0-0   0-0-2   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-2   H,0-0-0   0-0-2   N)0-0-0   0-0-0   ,(0-0-0   0-0-2   L,0-0-0   0-0-2   K)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   Y,(0-0-0   0-0-1   X,(0-0-0   0-0-1   T,((0-0-0   0-0-1   V,0-0-0   0-0-1   W)0-0-0   0-0-0   ,0-0-1   0-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   ;",3,0,37
reconcILS,4,"((AC,((((((Z,G),AB),AA),((X,(Y,(((W,V),U),T))),(((S,R),(Q,P)),(O,((J,(M,I)),(N,((K,L),H))))))),C),(F,(E,D)))),(B,A));","(0-1-0   0-0-0   AC,(0-0-0   0-0-1   B,(0-0-0   0-0-1   A,((0-0-0   0-0-1   F,(0-0-0   0-0-1   D,0-0-0   0-0-1   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-1-0   0-0-0   ,(0-0-0   0-0-2   G,0-0-0   0-0-2   Z)0-0-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-1   P,0-0-0   0-0-1   Q)0-0-0   0-0-0   ,(0-0-0   0-0-1   R,0-0-0   0-0-1   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   O,((0-0-0   0-0-1   J,(0-0-0   0-0-1   I,0-0-0   0-0-1   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-2   H,0-0-0   0-0-2   N)0-1-0   0-0-0   ,(0-0-0   0-0-2   L,0-0-0   0-0-2   K)0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-1-0   0-0-2   Y,(0-0-0   0-0-2   X,(0-0-0   0-0-2   T,((0-0-0   0-0-2   V,0-0-0   0-0-2   W)0-0-0   0-0-0   ,0-0-0   0-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   ;",0,5,0
ete3,4,"((AC,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B)),(((A,(((D,E),F),(C,((((((((N,H),(L,K)),((K,L),(H,N))),((I,M),J)),O),((P,Q),(R,S))),(((X,(T,(U,(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AB,AA)),((AA,AB),(G,Z))))))),B),AC));","(0-1-0   0-0-0   AC,(0-0-0   0-0-1   B,(0-0-0   0-0-1   A,((0-0-0   0-0-1   F,(0-0-0   0-0-1   D,0-0-0   0-0-1   E)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   C,(((0-0-0   0-0-0   AB,0-0-0   0-0-0   AA)0-1-0   0-0-0   ,(0-0-0   0-0-2   G,0-0-0   0-0-2   Z)0-0-0   0-0-0   )0-0-0   1-0-0   ,((((0-0-0   0-0-1   P,0-0-0   0-0-1   Q)0-0-0   0-0-0   ,(0-0-0   0-0-1   R,0-0-0   0-0-1   S)0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-0-0   0-0-1   O,((0-0-0   0-0-1   J,(0-0-0   0-0-1   I,0-0-0   0-0-1   M)0-0-0   0-0-0   )0-0-0   0-0-0   ,((0-0-0   0-0-2   H,0-0-0   0-0-2   N)0-1-0   0-0-0   ,(0-0-0   0-0-2   L,0-0-0   0-0-2   K)0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   ,(0-1-0   0-0-2   Y,(0-0-0   0-0-2   X,(0-0-0   0-0-2   T,((0-0-0   0-0-2   V,0-0-0   0-0-2   W)0-0-0   0-0-0   ,0-0-0   0-0-2   U)0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-0-0   0-0-0   )0-1-0   0-0-0   )0-0-0   0-0-0   )0-0-0   1-0-0   ;",4,0,38
