Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,2821,"((AC,((((((((Z,G),AB),AA),((X,(Y,(U,((W,V),T)))),(((J,(M,I)),O),(((S,R),(Q,P)),((K,L),(N,H)))))),(C,C)),(F,(((E,E),D),D))),A),(B,B))),AC);","(,(,(A,((F,(,)),(,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",4,7,0
ete3,2821,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((B,B),(A,((((E,D),(D,(E,E))),F),((C,C),((((((((M,I),J),((H,N),(L,K))),O),((P,Q),(R,S))),(((S,R),(Q,P)),((((K,L),(N,H)),((I,M),J)),O))),(((X,(((U,(V,W)),T),(((W,V),U),T))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AB,AA)),((AA,AB),(G,Z)))))))),AC));","(,(,(A,((F,(,)),(,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,0,53
reconcILS,3451,"((AC,AC),((((((((Z,AB),AA),G),((Y,((X,X),(V,((W,W),(U,T))))),(((S,R),(Q,P)),(J,(((M,L),M),(((K,I),O),(N,H))))))),((C,C),C)),(F,(E,D))),A),B));","(,(B,(A,((F,(D,E)),(,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,),U)))))))))));",8,10,9
ete3,3451,"((B,(A,(((D,E),F),((C,(C,C)),((((((((((K,L),(H,N)),((M,I),J)),O),(O,(((L,K),(N,H)),((M,I),J)))),(O,((((K,L),(N,H)),((I,M),J)),(((K,L),(N,H)),((I,M),J))))),((((K,L),(N,H)),((M,I),J)),O)),((P,Q),(R,S))),(((((((W,V),U),T),((U,(V,(W,W))),T)),((U,(W,V)),T)),(X,X)),Y)),(((Z,G),(AA,AB)),(((Z,G),(AB,AA)),((G,Z),(AA,AB))))))))),(AC,AC));","(,(B,(A,((F,(D,E)),(,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,),U)))))))))));",8,0,45
reconcILS,4297,"(((((((AB,AA),(Z,G)),((Y,(X,(((((W,W),V),W),(U,U)),T))),(((O,O),O),(((S,((R,R),R)),(Q,P)),((((J,J),M),I),((K,L),(N,H))))))),C),(B,A)),F),(E,(D,D)));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",10,6,6
ete3,4297,"(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,((D,D),E))),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((E,D),F),(C,(((((O,(((H,N),(L,K)),(((M,I),J),((I,M),(J,J))))),((P,Q),((R,(R,R)),S))),(((((K,L),(N,H)),((M,I),J)),(O,(O,O))),((S,R),(Q,P)))),(((T,((U,U),((V,W),(V,(W,W))))),X),Y)),((G,Z),(AA,AB))))),A),B))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,0,113
reconcILS,5899,"((AC,((((((AB,AA),(Z,G)),(Y,((X,(U,(W,((V,T),T)))),((S,(R,R)),((Q,P),((J,((M,M),I)),(((K,L),N),(O,(H,H))))))))),C),(F,(E,D))),(B,A))),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(,S)),(O,((J,(I,)),((,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",5,9,3
ete3,5899,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,(((D,E),F),(C,((((Y,((((((U,(W,V)),T),((U,(W,V)),T)),((U,(V,W)),T)),(((W,V),U),T)),X)),((((S,R),(P,Q)),((((((K,L),(N,(H,H))),((M,I),J)),O),((((M,I),J),((H,N),(L,K))),O)),((((K,L),(N,H)),((I,(M,M)),J)),O))),(((((K,L),(N,H)),((M,I),J)),O),((Q,P),((R,R),S))))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),((G,Z),(AA,AB)))))),B)),AC));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(,S)),(O,((J,(I,)),((,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,0,110
reconcILS,7000,"((AC,((((((((((AA,AA),AA),AA),Z),(G,G)),AB),((X,(Y,((W,V),T))),(O,((((S,R),(Q,Q)),P),((N,(J,(M,I))),((K,L),H)))))),(F,(E,((D,D),D)))),A),B)),AC);","(,(B,(A,((F,(,E)),(C,(((AB,),(,Z)),((((P,),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",5,8,2
ete3,7000,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,((C,(((((O,((((M,I),J),((N,H),(L,K))),(((K,L),(H,N)),((I,M),J)))),(((S,R),(Q,P)),((P,(Q,Q)),(R,S)))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((X,((U,(V,W)),T)),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AA,AB)),(((Z,(G,G)),(AA,AB)),((G,Z),(AB,(AA,(AA,(AA,AA))))))))),(((D,(D,D)),E),F)))),AC));","(,(B,(A,((F,(,E)),(C,(((AB,),(,Z)),((((P,),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",10,0,64
