Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,8452,"(((((((((AB,AA),(Z,G)),((((X,X),Y),((W,V),((U,U),((T,T),T)))),(((S,R),(Q,P)),(O,((J,(M,I)),(((L,L),(K,N)),H)))))),C),(F,(E,D))),B),A),AC),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(,K))))),(Y,(,(,((V,W),)))))))))));",5,6,0
ete3,8452,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,(((D,E),F),(C,((((((((K,L),(N,H)),(((L,K),(H,N)),((K,(L,L)),(N,H)))),((I,M),J)),O),((P,Q),(R,S))),(((X,((((W,V),(U,U)),(T,(T,T))),((U,(V,W)),T))),Y),((((U,(W,V)),T),(X,X)),Y))),((G,Z),(AA,AB)))))),B))));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(,K))))),(Y,(,(,((V,W),)))))))))));",9,0,60
reconcILS,10097,"(((((((((AA,AA),AB),(Z,G)),((((X,X),Y),(((W,V),U),T)),(((S,R),(Q,P)),(O,(N,(((L,L),(K,(I,I))),((J,M),H))))))),((E,D),(F,C))),B),A),AC),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,W),U)))))))))));",6,6,9
ete3,10097,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E)))),((C,(((((((((K,L),(N,H)),((I,M),J)),((((L,K),(N,H)),((M,(I,I)),J)),(((K,(L,L)),(N,H)),((M,I),J)))),(((K,L),(H,N)),((M,I),J))),O),((P,Q),(R,S))),(((X,(T,(U,(V,W)))),Y),((((U,(W,V)),T),(X,X)),Y))),((G,Z),(AB,(AA,AA))))),((E,D),F)))),B))));","(,(B,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,W),U)))))))))));",9,0,126
reconcILS,3537,"((((((((((Z,G),AA),AB),((Y,(X,(((W,V),U),T))),((S,(R,R)),(((Q,P),((O,O),O)),(L,((K,N),((M,(J,I)),H))))))),C),(F,(E,((((D,D),D),D),D)))),B),A),AC),AC);","(,(B,(A,((F,(,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",7,10,0
ete3,3537,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,((((D,(D,(D,(D,D)))),E),F),(C,((((((O,(((((K,L),(N,H)),(((M,I),J),((I,M),J))),(((M,I),J),((L,K),(H,N)))),(((K,L),(N,H)),((M,I),J)))),((S,R),(Q,P))),(((((K,L),(N,H)),((M,I),J)),(O,(O,O))),((S,R),(P,Q)))),(((((K,L),(N,H)),((M,I),J)),O),((Q,P),((R,R),S)))),(((T,(U,(V,W))),X),Y)),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))))),B))));","(,(B,(A,((F,(,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,0,90
reconcILS,4565,"(((((((((AB,AA),(Z,G)),((Y,(X,((((W,W),V),(U,U)),T))),(((S,R),(Q,P)),((((O,O),O),O),(N,((K,L),((J,(M,I)),H))))))),C),(F,(E,D))),A),B),AC),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,),)))))))))));",5,4,0
ete3,4565,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(B,(A,(((D,E),F),(C,(((((((((K,L),(N,H)),((I,M),J)),(((N,H),(L,K)),((M,I),J))),(((K,L),(H,N)),((M,I),J))),(O,(O,(O,O)))),((P,Q),(R,S))),(((T,((U,U),(V,(W,W)))),X),Y)),((G,Z),(AA,AB)))))))));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,),)))))))))));",5,0,38
reconcILS,5971,"((((((((((Z,Z),Z),(((((G,G),G),G),G),AB)),AA),((Y,(X,((V,U),T))),(((S,R),(Q,P)),(O,((J,((M,M),I)),(L,(K,(N,H)))))))),C),(F,(E,D))),A),AC),((B,B),B));","(AC,(,(A,((F,(D,E)),(C,(((AB,AA),(,)),((((P,Q),(R,S)),(O,((J,(I,)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,4,1
ete3,5971,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),(B,(B,B))),AC),((B,(A,(((D,E),F),(C,((((((((L,K),(H,N)),((K,L),(N,H))),((I,(M,M)),J)),O),((P,Q),(R,S))),(((T,((W,V),U)),X),Y)),(((Z,G),(AB,AA)),(((Z,(G,(G,(G,(G,G))))),(AA,AB)),((G,(Z,(Z,Z))),(AA,AB))))))))),AC));","(AC,(,(A,((F,(D,E)),(C,(((AB,AA),(,)),((((P,Q),(R,S)),(O,((J,(I,)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",7,0,43
reconcILS,8188,"(((((((((Z,G),AA),AB),((Y,(X,(((((W,W),W),(V,V)),(U,((U,U),U))),T))),((Q,((S,R),P)),(O,((K,L),((J,((M,I),I)),(N,H))))))),C),((F,(E,D)),A)),B),AC),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(,M)),((H,N),(L,K))))),(Y,(X,(T,((,),)))))))))));",7,6,0
ete3,8188,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(B,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),((((E,D),F),(C,((((((((K,L),(H,N)),(((M,I),(I,M)),J)),(((N,H),(L,K)),((M,I),J))),O),(((Q,P),(R,S)),((S,R),(P,Q)))),(((T,(((U,(U,U)),U),((V,V),(W,(W,W))))),X),Y)),(((Z,G),(AA,AB)),((AB,AA),(G,Z)))))),A)))));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(,M)),((H,N),(L,K))))),(Y,(X,(T,((,),)))))))))));",9,0,66
reconcILS,8779,"(((((((((((Z,G),AB),AA),(((X,Y),(((W,V),U),(T,T))),((((S,S),R),(Q,(P,P))),(O,((J,(M,I)),(N,(K,(L,(H,H))))))))),C),(F,(E,D))),A),B),AC),AC),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",5,5,1
ete3,8779,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(B,(A,(((D,E),F),(C,(((((((((K,L),(N,(H,H))),((L,K),(N,H))),((K,L),(H,N))),((I,M),J)),O),(((P,P),Q),(R,(S,S)))),(((X,((T,T),(U,(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AB,AA)),((AA,AB),(G,Z)))))))))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,0,60
