Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,3055,"(A,(((((((C,I),(G,F)),(D,(H,E))),J),((K,L),(M,N))),(((((O,O),P),(Q,R)),S),T)),(((B,(B,(B,B))),(U,(U,U))),((W,(W,W)),(V,V)))));","(A,((((W,(W,W)),(V,V)),((B,(B,(B,B))),(U,(U,U)))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,((O,O),((Q,R),P)))))));",9,2,0
ete3,3055,"(((((V,V),((W,W),W)),(((U,U),U),(((B,B),B),B))),((T,(S,(((P,(R,Q)),O),(((R,Q),P),(O,O))))),(((N,M),(L,K)),(J,((((D,H),E),((H,D),E)),((F,G),(I,C))))))),A);","(A,((((W,(W,W)),(V,V)),((B,(B,(B,B))),(U,(U,U)))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,((O,O),((Q,R),P)))))));",7,0,6
reconcILS,3580,"((((((C,((I,F),(G,G))),(E,(H,(E,H)))),((J,(J,(J,J))),((K,L),(M,N)))),(((O,(P,((Q,Q),R))),T),(S,S))),((W,(B,(U,U))),(V,(V,(V,V))))),A);","(A,(((W,(((V,V),V),V)),(B,(U,U))),((((K,L),(M,N)),((((J,J),J),J),(((E,(D,(H,H))),(E,(D,H))),((C,I),((G,G),F))))),(T,((S,S),(O,(((Q,Q),R),P)))))));",12,6,2
ete3,3580,"(A,((((U,B),(W,(((V,V),V),V))),((V,W),((U,U),B))),((((((P,(R,Q)),O),(S,S)),T),((S,(((R,(Q,Q)),P),O)),T)),((((((F,G),(I,C)),((H,D),E)),(((J,J),J),J)),((N,M),(L,K))),((J,(((((D,H),E),((D,H),E)),((H,D),E)),((((F,(G,G)),(I,C)),((G,F),(C,I))),((F,G),(I,C))))),((N,M),(L,K)))))));","(A,(((W,(((V,V),V),V)),(B,(U,U))),((((K,L),(M,N)),((((J,J),J),J),(((E,(D,(H,H))),(E,(D,H))),((C,I),((G,G),F))))),(T,((S,S),(O,(((Q,Q),R),P)))))));",11,0,29
reconcILS,4312,"(A,(((((((C,I),((G,(G,(G,(G,(G,(G,G)))))),F)),((((J,(J,J)),H),(D,(D,(D,(H,(D,E)))))),D)),((N,(M,K)),(L,L))),((T,T),S)),(O,(P,(Q,R)))),((B,(B,B)),(V,U))));","(A,(((W,V),(((B,B),B),U)),((((K,(L,L)),(M,N)),((J,(J,J)),(((E,((((D,D),H),(D,H)),(D,H))),(E,(D,H))),((C,I),((G,(G,(G,(G,(G,(G,G)))))),F))))),((T,T),(S,(O,((Q,R),P)))))));",16,14,4
ete3,4312,"(((((B,U),(W,V)),((U,((B,B),B)),(V,W))),((((S,(((R,Q),P),O)),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((P,(R,Q)),O),S),(T,T)),((((N,M),(K,(L,L))),(((N,M),(L,K)),((M,N),(L,K)))),((((((F,G),(I,C)),((H,D),E)),J),(((((F,G),(I,C)),((((((H,D),E),((D,H),E)),((H,D),E)),((H,D),E)),((H,D),E))),J),((((F,G),(I,C)),((D,H),E)),((J,J),J)))),((((H,D),E),((F,((((((G,G),G),G),G),G),G)),(I,C))),J)))))),A);","(A,(((W,V),(((B,B),B),U)),((((K,(L,L)),(M,N)),((J,(J,J)),(((E,((((D,D),H),(D,H)),(D,H))),(E,(D,H))),((C,I),((G,(G,(G,(G,(G,(G,G)))))),F))))),((T,T),(S,(O,((Q,R),P)))))));",10,0,54
reconcILS,5118,"(((A,(((((((C,F),(I,G)),(D,((H,H),E))),J),((K,L),(M,N))),((((O,(R,(R,Q))),P),S),T)),(V,(W,(B,U))))),A),((B,U),R));","(((A,A),(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,(H,H))),(((C,I),(G,F)),((C,I),(G,F)))))),(T,(S,(O,((Q,(R,R)),P))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));",5,5,12
ete3,5118,"((A,((((((P,(Q,R)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((V,W),(U,B)))),((((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A),(((((V,W),(U,B)),((U,B),(W,V))),((T,(S,((((R,Q),P),O),((P,((Q,R),(Q,R))),O)))),(((N,M),(L,K)),(J,((((D,(H,H)),E),((H,D),E)),(((F,G),(C,I)),((G,F),(I,C)))))))),A)));","(((A,A),(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,(H,H))),(((C,I),(G,F)),((C,I),(G,F)))))),(T,(S,(O,((Q,(R,R)),P))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));",8,0,53
reconcILS,6698,"(((((((((((C,C),I),D),(H,(D,H))),((J,E),G)),(F,F)),K),(M,N)),(L,L)),(((((O,O),(P,P)),((T,R),(Q,Q))),(S,S)),(W,(V,((B,B),U))))),A);","(A,(((W,V),((B,B),U)),((((K,(L,L)),(M,N)),((J,((E,(D,H)),((C,I),(G,(F,F))))),(J,(((E,((D,H),(D,H))),(((C,C),I),(G,F))),((E,(D,H)),((C,I),(G,F))))))),((T,((S,S),(O,((Q,R),P)))),(T,(S,((O,O),(((Q,Q),R),(P,P)))))))));",12,12,12
ete3,6698,"(A,((((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),(((((P,(R,Q)),O),(S,S)),T),((((((P,(R,(Q,Q))),O),S),T),((((P,(Q,R)),O),S),T)),((S,(((R,Q),(P,P)),(O,O))),T)))),(((W,V),(U,(B,B))),((U,B),(V,W)))),((((((P,(R,Q)),O),S),T),((((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,(L,L)))),((((((F,G),(I,C)),((H,D),E)),J),((L,K),(N,M))),(((N,M),(L,K)),(((((G,(F,F)),(I,C)),((H,D),E)),J),((((((F,G),(I,C)),((H,D),E)),J),((((F,G),(I,C)),((H,D),E)),J)),(J,((((F,G),(I,C)),(E,((H,D),(D,H)))),(((F,G),(I,(C,C))),((H,D),E)))))))))),((U,B),(V,W)))));","(A,(((W,V),((B,B),U)),((((K,(L,L)),(M,N)),((J,((E,(D,H)),((C,I),(G,(F,F))))),(J,(((E,((D,H),(D,H))),(((C,C),I),(G,F))),((E,(D,H)),((C,I),(G,F))))))),((T,((S,S),(O,((Q,R),P)))),(T,(S,((O,O),(((Q,Q),R),(P,P)))))))));",15,0,92
reconcILS,9585,"(((((((C,C),(((D,D),(H,H)),((E,(G,F)),I))),J),((K,L),(M,(N,N)))),(((O,(P,(Q,(R,R)))),(S,S)),T)),(V,(W,(B,U)))),A);","(A,(((W,V),(B,U)),((((K,L),(M,(N,N))),(J,((E,((D,D),(H,H))),(((C,C),I),(G,F))))),(T,((S,S),(O,((Q,(R,R)),P)))))));",6,5,0
