Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,0,"(((((((Z,G),AA),AB),((Y,(X,(((W,V),U),T))),(((S,R),(Q,P)),(O,((J,(M,I)),(((K,L),N),H)))))),(B,C)),((F,(E,D)),A)),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,5,0
ete3,0,"(AC,((B,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A)),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((C,((((((((K,L),(N,H)),((H,N),(L,K))),((I,M),J)),O),((P,Q),(R,S))),(((T,(U,(V,W))),X),Y)),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))),((E,D),F)),A),B))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",3,0,71
reconcILS,1,"((AC,((((((Z,G),AA),AB),((X,(Y,((W,U),T))),(O,(((S,R),(Q,P)),(((J,M),I),(N,(L,(K,H)))))))),C),(F,(E,D)))),(B,A));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,8,1
ete3,1,"((AC,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B)),(((A,(((D,E),F),(C,(((((O,(((((L,K),(N,H)),((K,L),(N,H))),((K,L),(H,N))),(((M,I),J),((I,M),J)))),((P,Q),(R,S))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((X,(T,((V,W),U))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))))),B),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",6,0,69
reconcILS,2,"((AC,((((((G,(Z,AB)),AA),((X,((W,V),(U,T))),(Y,((Q,((S,R),P)),(O,((J,(M,I)),(L,(K,H)))))))),A),(E,D)),F)),B);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,10,2
ete3,2,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E))),A),(((C,(((((((U,(W,V)),T),X),Y),((((((L,K),(N,H)),((K,L),(N,H))),((I,M),J)),O),(((Q,P),(R,S)),((S,R),(P,Q))))),((Y,(((((W,V),U),T),((U,(V,W)),T)),X)),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((Z,G),(AB,AA)),(((G,Z),(AA,AB)),((Z,G),(AA,AB)))))),((E,D),F)),A)))),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",7,0,104
reconcILS,3,"((B,(((((((Z,G),AA),AB),((Y,(X,((W,V),T))),(((S,R),(Q,P)),(((J,(M,I)),O),((K,L),(N,H)))))),C),(F,(E,D))),A)),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,2,1
ete3,3,"(AC,((A,(((D,E),F),(C,((((((((M,I),J),((H,N),(L,K))),O),((((K,L),(N,H)),((I,M),J)),O)),((P,Q),(R,S))),((((U,(V,W)),T),X),Y)),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))))),B));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",2,0,13
reconcILS,4,"((((((((Z,G),AB),AA),((X,(Y,(((W,V),U),T))),(((S,R),(Q,P)),(O,((J,(M,I)),(N,((K,L),H))))))),C),(F,(E,D))),(B,A)),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,4,0
ete3,4,"(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,(((D,E),F),(C,((((((((N,H),(L,K)),((K,L),(H,N))),((I,M),J)),O),((P,Q),(R,S))),(((X,(T,(U,(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AB,AA)),((AA,AB),(G,Z))))))),B)));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",4,0,46
reconcILS,5,"((((((((Z,AA),AB),G),(((((W,V),T),U),Y),X)),((K,N),((((S,Q),P),O),((((H,L),I),J),M)))),A),AC),((F,(E,D)),(B,C)));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",2,14,11
ete3,5,"((AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B))),((B,(((C,(((((((U,(W,V)),T),X),Y),((((O,((((K,L),(N,H)),((I,M),J)),((((K,L),(N,H)),((M,I),J)),(((M,I),J),((K,L),(N,H)))))),((S,R),(Q,P))),(((((K,L),(N,H)),((M,I),J)),O),(((S,R),(Q,P)),((R,S),(P,Q))))),(((((M,I),J),((L,K),(H,N))),O),((S,R),(Q,P))))),((Z,G),(AA,AB))),(((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),(((((U,(W,V)),T),X),Y),((X,((((W,V),U),T),((U,(V,W)),T))),Y))),(((Z,G),(AA,AB)),(((Z,G),(AA,AB)),((G,Z),(AB,AA))))))),((E,D),F)),A)),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,0,152
reconcILS,6,"((((((((AB,AA),G),Z),(X,(((V,(W,U)),T),(Y,((Q,P),(((S,R),O),((K,L),(((I,M),J),(N,H))))))))),C),(F,(E,D))),B),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,8,1
ete3,6,"(AC,((A,(((D,E),F),(C,((((((((U,(W,V)),T),X),Y),((((O,((((K,L),(H,N)),(J,(M,I))),(((N,H),(L,K)),((M,I),J)))),((S,R),(Q,P))),(((((K,L),(N,H)),((M,I),J)),O),((Q,P),(R,S)))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q))))),(((X,(T,(((V,W),U),(U,(W,V))))),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((G,Z),(AA,AB)),((Z,G),(AA,AB))))))),B));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",5,0,67
reconcILS,7,"((((((((G,AA),Z),AB),((X,(V,(W,(U,T)))),(Y,((Q,P),(O,((S,R),(L,((N,(M,I)),((H,J),K))))))))),((B,F),(E,D))),C),A),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",3,13,12
ete3,7,"(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E))),A),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B)),((((C,(((((((U,(W,V)),T),X),Y),((((O,((((((L,K),(N,H)),((M,I),J)),(((K,L),(N,H)),((M,I),J))),(((K,L),(H,N)),(J,(I,M)))),(((K,L),(N,H)),((M,I),J)))),((Q,P),(R,S))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q))))),((Y,((((((W,V),U),T),((U,(V,W)),T)),((U,(W,V)),T)),X)),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((Z,G),(AA,AB)),(((G,Z),(AA,AB)),((Z,G),(AB,AA)))))),((E,D),F)),A),B)))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",6,0,213
reconcILS,8,"((A,((((((Z,G),AA),AB),((X,(((W,V),U),T)),(((S,R),(Q,P)),(O,((J,(M,I)),(N,((K,L),H))))))),C),(F,(E,D)))),B);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,2,2
ete3,8,"(B,((((D,E),F),(C,(((Y,((T,(U,(V,W))),X)),((((((N,H),(L,K)),((K,L),(H,N))),((I,M),J)),O),((P,Q),(R,S)))),(((Z,G),(AA,AB)),((AB,AA),(G,Z)))))),A));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",2,0,7
reconcILS,9,"((AC,(((((Z,G),AA),AB),((X,(V,((W,U),T))),(((S,R),(Q,P)),((K,(N,(L,(((J,M),I),O)))),H)))),((F,(E,D)),(B,C)))),A);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",2,14,9
ete3,9,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B)),((((C,(((Y,(((T,((V,W),U)),((U,(W,V)),T)),X)),((((((K,L),(N,H)),((M,I),J)),O),(((((((K,L),(N,H)),(((M,I),J),((I,M),J))),O),((((K,L),(N,H)),((M,I),J)),O)),((((K,L),(H,N)),((M,I),J)),O)),((((L,K),(N,H)),((M,I),J)),O))),((P,Q),(R,S)))),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))),((E,D),F)),A),B)),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",6,0,129
reconcILS,10,"((AC,A),((((((AB,AA),G),Z),(((X,Y),(((W,V),U),T)),(((S,R),(Q,P)),(O,(((K,N),(L,(M,(J,I)))),H))))),((F,(E,D)),C)),B));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,10,0
ete3,10,"((AC,((A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),((C,((((((((K,L),(N,H)),((M,I),J)),((((K,L),(N,H)),(((M,I),J),((I,M),J))),(((M,I),J),((L,K),(H,N))))),O),((P,Q),(R,S))),(((X,(T,(U,(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((G,Z),(AA,AB)),((Z,G),(AA,AB))))),((E,D),F)))),B)),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",6,0,84
reconcILS,11,"((B,AC),((((((G,AA),Z),AB),((Y,(X,(((W,V),U),T))),(((S,R),(Q,P)),(O,((M,I),(J,(((L,K),H),N))))))),((F,(E,D)),C)),A));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,6,0
ete3,11,"(((B,(A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),((C,((((((((M,I),J),(((K,L),(H,N)),((N,H),(K,L)))),(((K,L),(N,H)),(J,(I,M)))),O),((P,Q),(R,S))),(((T,(U,(V,W))),X),Y)),(((Z,G),(AA,AB)),(((G,Z),(AA,AB)),((Z,G),(AB,AA)))))),((E,D),F))))),AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",5,0,74
reconcILS,12,"((AC,(B,A)),(((((AB,AA),(Z,G)),((Y,(X,(U,((W,V),T)))),(P,(R,(L,(((K,N),O),((J,(M,I)),H))))))),S),((F,(E,D)),C)));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,15,1
ete3,12,"((((A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),((C,(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((R,S),(Q,P)))),((Z,G),(AA,AB))),((((((S,R),(Q,P)),(((O,(((K,L),(N,H)),((I,M),J))),((((M,I),J),((L,K),(H,N))),O)),((((K,L),(N,H)),((M,I),J)),O))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((((U,(V,W)),T),(((W,V),U),T)),X),Y)),((G,Z),(AA,AB))))),((E,D),F)))),B),AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",6,0,128
reconcILS,13,"((B,AC),(((((((Z,G),AB),AA),((Y,(X,(((W,V),U),T))),(((S,R),(Q,P)),(O,((J,(M,I)),(K,(L,(N,H)))))))),C),(F,(E,D))),A));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,3,0
