Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,1820,;,"(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,0,0
ete3,1820,NoName;,"(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",0,0,0
reconcILS,259,"((AA,((O,G),((N,((((((Z,H),(((V,U),W),T)),R),S),(Y,((E,D),((F,AC),(A,C))))),K)),(((((P,J),Q),M),I),AB)))),X);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",8,25,72
ete3,259,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((C,((((((U,(W,V)),T),X),Y),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((I,M),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))))),((Z,G),(AA,AB)))),((E,D),F)),A),B),AC),(((((((((((((U,(W,V)),T),X),Y),(((((L,K),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((B,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A)),AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC)),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E))),A),B),AC)),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC)),(((((C,(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((R,S),(Q,P)))),((Z,G),(AA,AB))),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(((((X,(T,((U,(V,W)),((W,V),U)))),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((G,Z),(AA,AB))))))),((E,D),F)),A),B),AC))),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(H,N)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC))),(((((C,((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB)))),((E,D),F)),A),B),AC)),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AB,AA))),C),((E,D),F)),A),B),AC)));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",13,0,386
reconcILS,212,"((((((Z,G),AB),((B,X),((((U,V),Y),T),W))),(((((((((((S,L),P),K),Q),H),J),R),M),I),O),N)),((E,D),A)),(AC,(F,C)));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",4,23,20
ete3,212,"((((A,((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F))),B),AC),(AC,((B,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E))),A)),(((((((((((U,(W,V)),T),X),Y),((((((K,L),(H,N)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((I,M),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q))),((((((L,K),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),(((((K,L),(N,H)),((M,I),J)),O),((R,S),(Q,P)))))))))))))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((((((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),(((((U,(V,W)),T),X),Y),(((((U,(W,V)),T),X),Y),(((T,((W,V),U)),X),Y)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B)),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((AA,AB),(G,Z))),C),((E,D),F)),A),B))))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",4,0,286
reconcILS,295,"((B,A),(((((Z,AA),G),(X,(Y,(U,((W,T),V))))),(((((((((O,((P,R),S)),N),K),J),M),H),L),Q),I)),((F,(E,D)),C)));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",3,21,17
ete3,295,"(((A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),((C,(((((((U,(W,V)),T),X),Y),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((I,M),J)),O),((S,R),(Q,P))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((L,K),(N,H)),((M,I),J)),O),((S,R),(Q,P))),((((((K,L),(H,N)),((M,I),J)),O),((S,R),(Q,P))),(((((K,L),(N,H)),((M,I),J)),O),(((R,S),(Q,P)),((S,R),(Q,P))))))))))))),((Z,G),(AA,AB))),(((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),(((X,((((U,(W,V)),T),((U,(V,W)),T)),(((W,V),U),T))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AA,AB)),((G,Z),(AB,AA)))))),((E,D),F)))),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",7,0,191
reconcILS,276,"(((E,D),C),(((((((((G,AB),AA),X),((Q,(Y,T)),((((((S,V),U),O),R),W),P))),((((((J,L),I),K),H),N),M)),AC),B),A),F));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",5,22,28
ete3,276,"(((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((((C,(((((((U,(W,V)),T),X),Y),((O,((((K,L),(N,H)),((I,M),J)),((((K,L),(H,N)),((M,I),J)),((((K,L),(N,H)),((M,I),J)),((((L,K),(N,H)),((M,I),J)),((((K,L),(N,H)),((M,I),J)),(((K,L),(N,H)),((M,I),J)))))))),((S,R),(Q,P)))),((Z,G),(AA,AB))),((((Z,G),(AA,AB)),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((((((U,(V,W)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((((((W,V),U),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((R,S),(Q,P))))))))),((((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q))),((((U,(W,V)),T),X),Y)))),((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((Z,G),(AB,AA)),((Z,G),(AA,AB))))))),((E,D),F)),A),B),AC)))),(((A,((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E)))),B),AC));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",8,0,286
