Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,259,"((((W,(K,(E,(H,(L,D))))),((N,((R,(O,(P,Q))),(M,(F,(U,((T,A),C)))))),I)),(B,J)),(S,V));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",6,16,45
ete3,259,"((A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,((O,((Q,R),P)),S))))),((A,(((W,V),(U,B)),((((K,L),(M,N)),(((E,(D,H)),((C,I),(G,F))),J)),(T,(S,(O,((Q,R),P))))))),(((A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),(((((((A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((I,C),(G,F))))),(T,(S,(O,((Q,R),P))))))),((((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((S,(O,((Q,R),P))),T))),A)),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))))),(A,(((W,V),(B,U)),((((K,L),(N,M)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,((((R,Q),P),O),(O,((Q,R),P))))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))))),(A,(((V,W),(B,U)),((T,(S,(O,((Q,R),P)))),((((((K,L),(M,N)),(J,((E,(H,D)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,(((D,H),E),((C,I),(G,F)))))),(((L,K),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))))))))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",12,0,250
reconcILS,212,"(A,((N,(H,(K,(I,(L,(G,(M,(F,(E,(J,(D,C))))))))))),(((O,(Q,(P,(T,R)))),S),(W,(B,U)))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",6,12,28
ete3,212,"(((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((T,((O,((Q,R),P)),S)),(((((S,(O,((Q,R),P))),T),(T,(S,(O,((Q,R),P))))),(T,(S,(O,((R,Q),P))))),(T,(S,(((Q,R),P),O)))))),((V,W),(U,B))),(((W,V),(B,U)),((T,(S,(O,((Q,R),P)))),(((((((((K,L),(N,M)),(((((E,(H,D)),((I,C),(G,F))),J),(J,(((D,H),E),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(F,G)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((L,K),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))))))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,0,141
reconcILS,295,"(((E,(F,(J,(C,(G,(I,(L,(D,(H,(K,(M,N))))))))))),(((((O,(R,Q)),P),T),S),(B,(V,U)))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",2,14,12
ete3,295,"(A,((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((T,((O,((Q,R),P)),S)),((S,((O,((Q,R),P)),((P,(Q,R)),O))),T))),(((W,V),(B,U)),((W,V),(U,B)))),(((W,V),(B,U)),((T,(S,(O,((Q,R),P)))),((((((((((J,((E,(D,H)),((C,I),(G,F)))),((L,K),(N,M))),(((K,L),(M,N)),(J,((E,(H,D)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(F,G)))))),(((K,L),(M,N)),(J,((E,(D,H)),((I,C),(G,F)))))),(((K,L),(M,N)),(((E,(D,H)),((C,I),(G,F))),J))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,(((D,H),E),((C,I),(G,F))))))))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",5,0,140
reconcILS,276,"(A,((H,(F,(G,(E,(I,(C,D)))))),(((N,(Q,(M,(R,(K,(J,P)))))),((O,T),L)),(S,(V,(W,B))))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,17,21
ete3,276,"((((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,((O,((Q,R),P)),S))),(((V,W),(U,B)),((W,V),(B,U)))),(((W,V),(B,U)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((S,(((Q,R),P),O)),T)),(((((((((K,L),(M,N)),(((E,(D,H)),((C,I),(G,F))),J)),(T,(S,(O,((Q,R),P))))),((((L,K),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(N,M)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((R,Q),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))))),(((W,V),(B,U)),((((K,L),(M,N)),(J,(((((((E,(H,D)),((I,C),(G,F))),((E,(D,H)),((C,I),(G,F)))),(((D,H),E),((C,I),(G,F)))),((E,(D,H)),((C,I),(F,G)))),((E,(D,H)),((C,I),(G,F)))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P))))))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,0,181
reconcILS,1557,"(A,(W,(V,((B,U),(((C,(H,(G,((P,(Q,(R,O))),(D,(I,(F,(T,(S,(E,J)))))))))),(K,(N,M))),L)))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,22,18
ete3,1557,"((((((W,V),(U,B)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((J,((E,(D,H)),((C,I),(G,F)))),((L,K),(M,N))),(T,(S,(O,((Q,R),P))))),((((((((((((K,L),(M,N)),((((D,H),E),((C,I),(G,F))),J)),(T,((O,((Q,R),P)),S))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((S,(O,((Q,R),P))),T))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(H,D)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(((((Q,R),P),O),(O,((R,Q),P))),(O,((Q,R),P))))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(F,G))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((I,C),(G,F))))),(T,(S,(O,((Q,R),P))))))))),(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),(((V,W),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",3,0,209
reconcILS,293,"(A,((((H,(F,(G,(E,(I,(D,C)))))),(N,(M,(L,K)))),((O,(R,(Q,(P,S)))),T)),(V,((W,B),U))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",1,12,5
ete3,293,"((((((W,V),(B,U)),((V,W),(U,B))),((W,V),(B,U))),((T,(((((O,((Q,R),P)),S),(S,(O,((R,Q),P)))),(S,(O,((Q,R),P)))),(S,(((Q,R),P),O)))),((J,(((((((E,(H,D)),((I,C),(G,F))),((E,(D,H)),((C,I),(G,F)))),(((D,H),E),((C,I),(G,F)))),((E,(D,H)),((C,I),(F,G)))),((E,(D,H)),((C,I),(G,F)))),((E,(D,H)),((C,I),(G,F))))),(((N,M),(K,L)),((K,L),(M,N)))))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,0,64
reconcILS,1094,"(A,(((((S,(R,(C,(I,(F,(H,(P,Q))))))),(((K,T),D),E)),(J,(O,(M,N)))),L),((W,U),(V,B))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,13,26
