Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,259,"(S,(V,(((W,(E,(H,(L,(K,D))))),((U,(F,(M,((T,A),(C,(N,(O,(P,(R,Q))))))))),I)),(B,J))));","((A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),((A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),(((A,(((W,V),(B,U)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P))))))),(A,(((W,V),(B,U)),((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))))));",7,13,46
ete3,259,"((((A,((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))),(((((((((P,(R,Q)),O),S),T),(((((F,G),(C,I)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A),((((((((U,B),(V,W)),((((S,(((Q,R),P),O)),T),(((((F,G),(I,C)),((H,D),E)),J),((M,N),(L,K)))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))))),A),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A)),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A)),(((((((P,(R,Q)),O),S),T),(((((G,F),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A)),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((B,U),(V,W))),A))),(A,((((((P,(R,Q)),O),S),T),((((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,L)))),(((((F,G),(I,C)),((D,H),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),((U,B),(V,W)))))),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(W,V))),A)),(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A));","((A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),((A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))),(((A,(((W,V),(B,U)),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P))))))),(A,(((W,V),(B,U)),((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))))));",11,0,237
reconcILS,212,"(A,((L,(H,(K,(N,(G,(I,(J,(M,(D,(F,(E,C))))))))))),(((O,(R,(T,(Q,P)))),S),(W,(B,U)))));","(A,(((W,V),(B,U)),(((((K,L),(M,N)),(((J,((E,(D,H)),((C,I),(G,F)))),(J,((E,(D,H)),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),((T,(S,(O,((Q,R),P)))),(T,(S,(O,((Q,R),P))))))));",4,15,18
ete3,212,"(((((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),(((((P,(R,Q)),O),S),T),(((((O,((R,Q),P)),S),T),((((P,(Q,R)),O),S),T)),((((P,(R,Q)),O),S),T)))),((V,W),(U,B))),((((((P,(R,Q)),O),S),T),(((((((((J,(((((F,G),(I,C)),((H,D),E)),(((G,F),(I,C)),((H,D),E))),(((F,G),(I,C)),((H,D),E)))),((N,M),(L,K))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(C,I)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((M,N),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((D,H),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,L))))),((U,B),(V,W)))),A);","(A,(((W,V),(B,U)),(((((K,L),(M,N)),(((J,((E,(D,H)),((C,I),(G,F)))),(J,((E,(D,H)),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),((T,(S,(O,((Q,R),P)))),(T,(S,(O,((Q,R),P))))))));",4,0,149
reconcILS,295,"(((C,(H,(E,(J,((N,(M,K)),(D,(I,(F,(G,L))))))))),(((((Q,(O,R)),P),T),S),(B,(V,U)))),A);","(A,(((W,V),(B,U)),((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",2,15,13
ete3,295,"(A,((((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),(((((P,(R,Q)),O),S),T),((S,((((R,Q),P),O),(((P,(Q,R)),O),((P,(R,Q)),O)))),T))),(((B,U),(W,V)),((U,B),(V,W)))),((((((P,(R,Q)),O),S),T),(((((((((((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,L))),(((((G,F),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(C,I)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),(((N,M),(L,K)),((M,N),(L,K))))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((D,H),E)),J),((N,M),(L,K)))),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),((U,B),(V,W)))));","(A,(((W,V),(B,U)),((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P)))))));",6,0,147
reconcILS,276,"(A,((I,(D,(H,(F,(C,(G,E)))))),(((P,(M,(J,(Q,(N,(R,K)))))),((O,T),L)),(S,(V,(W,B))))));","(A,(((W,V),(B,U)),(((((K,L),(M,N)),(J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P))))),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))))));",4,16,21
ete3,276,"(((((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((U,B),(V,W)),((U,B),(W,V)))),(((U,B),(V,W)),(((((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,L))),((((P,(R,Q)),O),S),T)),((((((((((P,(Q,R)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((M,N),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),((((((R,Q),P),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))))))),((((((P,(R,Q)),O),S),T),((J,((((((((F,G),(I,C)),((H,D),E)),(((F,G),(I,C)),((H,D),E))),(((G,F),(I,C)),((H,D),E))),(((F,G),(I,C)),((D,H),E))),(((F,G),(I,C)),((H,D),E))),(((F,G),(C,I)),((H,D),E)))),((N,M),(L,K)))),((U,B),(V,W)))),A);","(A,(((W,V),(B,U)),(((((K,L),(M,N)),(J,(((E,(D,H)),((C,I),(G,F))),((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P))))),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))))));",4,0,181
reconcILS,1557,"((W,(V,((B,U),(((D,(S,(G,(E,(C,(J,(F,(I,(T,((R,(P,(Q,O))),H)))))))))),(M,(K,N))),L)))),A);","(A,(((W,V),(B,U)),((((((K,L),(M,N)),((((J,((E,(D,H)),((C,I),(G,F)))),(J,((E,(D,H)),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));",5,21,22
ete3,1557,"(A,(((((V,W),(U,B)),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(K,L)))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),(((M,N),(L,K)),((N,M),(L,K))))),((((((((((((S,((((P,(R,Q)),O),(((R,Q),P),O)),((P,(Q,R)),O))),T),(((((F,G),(I,C)),((D,H),E)),J),((N,M),(L,K)))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(C,I)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((G,F),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))))),(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))))))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(W,V)))),((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)))));","(A,(((W,V),(B,U)),((((((K,L),(M,N)),((((J,((E,(D,H)),((C,I),(G,F)))),(J,((E,(D,H)),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F)))))),(T,(S,(O,((Q,R),P))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P)))))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));",4,0,224
