Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10
1	True	True	True	True	True	True	True	True	True	True
2	True	True	False	True	True	True	True	True	True	True
3	False	False	True	False	False	True	False	True	True	True
5	True	False	True	True	False	True	True	True	False	False
9	True	True	True	True	True	True	True	True	True	False
12	True	True	True	True	True	True	True	True	False	True
13	False	True	True	True	True	True	True	True	True	True
14	False	False	True	False	True	True	False	False	False	False
16	False	False	False	False	False	False	False	True	True	False
20	True	True	True	True	False	True	True	True	True	True
